,Home_Team,Away_Team,Result,Link,Season,Round,League
0,Valencia,Getafe,1-0,https://www.besoccer.com/match/valencia-cf/getafe/202220744,2022,1,primera_division
1,Mallorca,Real Betis,1-1,https://www.besoccer.com/match/mallorca/betis/202220740,2022,1,primera_division
2,Cádiz,Levante,1-1,https://www.besoccer.com/match/cadiz/levante/202220741,2022,1,primera_division
3,Alavés,Real Madrid,1-4,https://www.besoccer.com/match/alaves/real-madrid/202220737,2022,1,primera_division
4,Osasuna,Espanyol,0-0,https://www.besoccer.com/match/osasuna/espanyol/202220742,2022,1,primera_division
5,Celta,Atlético,1-2,https://www.besoccer.com/match/celta/atletico-madrid/202220739,2022,1,primera_division
6,Barcelona,R. Sociedad,4-2,https://www.besoccer.com/match/barcelona/real-sociedad/202220738,2022,1,primera_division
7,Sevilla,Rayo Vallecano,3-0,https://www.besoccer.com/match/sevilla/rayo-vallecano/202220743,2022,1,primera_division
8,Villarreal,Granada,0-0,https://www.besoccer.com/match/villarreal/granada/202220745,2022,1,primera_division
9,Elche,Athletic,0-0,https://www.besoccer.com/match/elche/athletic-bilbao/202220746,2022,1,primera_division
10,Real Betis,Cádiz,1-1,https://www.besoccer.com/match/betis/cadiz/202220760,2022,2,primera_division
11,Alavés,Mallorca,0-1,https://www.besoccer.com/match/alaves/mallorca/202220755,2022,2,primera_division
12,Granada,Valencia,1-1,https://www.besoccer.com/match/granada/valencia-cf/202220762,2022,2,primera_division
13,Espanyol,Villarreal,0-0,https://www.besoccer.com/match/espanyol/villarreal/202220763,2022,2,primera_division
14,Athletic,Barcelona,1-1,https://www.besoccer.com/match/athletic-bilbao/barcelona/202220757,2022,2,primera_division
15,R. Sociedad,Rayo Vallecano,1-0,https://www.besoccer.com/match/real-sociedad/rayo-vallecano/202220766,2022,2,primera_division
16,Atlético,Elche,1-0,https://www.besoccer.com/match/atletico-madrid/elche/202220758,2022,2,primera_division
17,Levante,Real Madrid,3-3,https://www.besoccer.com/match/levante/real-madrid/202220764,2022,2,primera_division
18,Getafe,Sevilla,0-1,https://www.besoccer.com/match/getafe/sevilla/202220761,2022,2,primera_division
19,Osasuna,Celta,0-0,https://www.besoccer.com/match/osasuna/celta/202220765,2022,2,primera_division
20,Mallorca,Espanyol,1-0,https://www.besoccer.com/match/mallorca/espanyol/202220774,2022,3,primera_division
21,Valencia,Alavés,3-0,https://www.besoccer.com/match/valencia-cf/alaves/202220778,2022,3,primera_division
22,Celta,Athletic,0-1,https://www.besoccer.com/match/celta/athletic-bilbao/202220773,2022,3,primera_division
23,R. Sociedad,Levante,1-0,https://www.besoccer.com/match/real-sociedad/levante/202220777,2022,3,primera_division
24,Elche,Sevilla,1-1,https://www.besoccer.com/match/elche/sevilla/202220781,2022,3,primera_division
25,Real Betis,Real Madrid,0-1,https://www.besoccer.com/match/betis/real-madrid/202220772,2022,3,primera_division
26,Barcelona,Getafe,2-1,https://www.besoccer.com/match/barcelona/getafe/202220769,2022,3,primera_division
27,Cádiz,Osasuna,2-3,https://www.besoccer.com/match/cadiz/osasuna/202220776,2022,3,primera_division
28,Rayo Vallecano,Granada,4-0,https://www.besoccer.com/match/rayo-vallecano/granada/202220779,2022,3,primera_division
29,Atlético,Villarreal,2-2,https://www.besoccer.com/match/atletico-madrid/villarreal/202220768,2022,3,primera_division
30,Levante,Rayo Vallecano,1-1,https://www.besoccer.com/match/levante/rayo-vallecano/202220795,2022,4,primera_division
31,Athletic,Mallorca,2-0,https://www.besoccer.com/match/athletic-bilbao/mallorca/202220788,2022,4,primera_division
32,Espanyol,Atlético,1-2,https://www.besoccer.com/match/espanyol/atletico-madrid/202220794,2022,4,primera_division
33,Osasuna,Valencia,1-4,https://www.besoccer.com/match/osasuna/valencia-cf/202220796,2022,4,primera_division
34,Cádiz,R. Sociedad,0-2,https://www.besoccer.com/match/cadiz/real-sociedad/202220792,2022,4,primera_division
35,Real Madrid,Celta,5-2,https://www.besoccer.com/match/real-madrid/celta/202220797,2022,4,primera_division
36,Getafe,Elche,0-1,https://www.besoccer.com/match/getafe/elche/202220789,2022,4,primera_division
37,Granada,Real Betis,1-2,https://www.besoccer.com/match/granada/betis/202220793,2022,4,primera_division
