,Home_Team,Away_Team,Result,Link,Season,Round,League
0,AFC Bournemouth,West Bromwich Albion,2-2,https://www.besoccer.com/match/afc-bournemouth/west-bromwich/202212861,2022,1,championship
1,Blackburn Rovers,Swansea City,2-1,https://www.besoccer.com/match/blackburn-rovers-fc/swansea-city-afc/202212862,2022,1,championship
2,Bristol City,Blackpool,1-1,https://www.besoccer.com/match/bristol-city-fc/blackpool-fc/202212863,2022,1,championship
3,Cardiff City,Barnsley,1-1,https://www.besoccer.com/match/cardiff-city-fc/barnsley-fc/202212864,2022,1,championship
4,Derby County,Huddersfield Town,1-1,https://www.besoccer.com/match/derby-county-fc/huddersfield-town-fc/202212866,2022,1,championship
5,Luton Town,Peterborough United,3-0,https://www.besoccer.com/match/luton-town-fc/peterborough-u/202212868,2022,1,championship
6,Preston North End,Hull City,1-4,https://www.besoccer.com/match/preston-north-end/hull-city/202212869,2022,1,championship
7,Queens Park Rangers,Millwall,1-1,https://www.besoccer.com/match/queens-park-rangers-fc/millwall-fc/202212870,2022,1,championship
8,Stoke City,Reading,3-2,https://www.besoccer.com/match/stoke-city/reading-fc/202212872,2022,1,championship
9,Sheffield United,Birmingham City,0-1,https://www.besoccer.com/match/sheffield-united/birmingham-city-fc/202212871,2022,1,championship
10,Fulham,Middlesbrough,1-1,https://www.besoccer.com/match/fulham/middlesbrough-fc/202212867,2022,1,championship
11,Coventry City,Nottingham Forest,2-1,https://www.besoccer.com/match/coventry-city/nottingham-forest-fc/202212865,2022,1,championship
12,Peterborough United,Derby County,2-1,https://www.besoccer.com/match/peterborough-u/derby-county-fc/202212881,2022,2,championship
13,Barnsley,Coventry City,1-0,https://www.besoccer.com/match/barnsley-fc/coventry-city/202212873,2022,2,championship
14,Birmingham City,Stoke City,0-0,https://www.besoccer.com/match/birmingham-city-fc/stoke-city/202212874,2022,2,championship
15,Blackpool,Cardiff City,0-2,https://www.besoccer.com/match/blackpool-fc/cardiff-city-fc/202212875,2022,2,championship
16,Huddersfield Town,Fulham,1-5,https://www.besoccer.com/match/huddersfield-town-fc/fulham/202212876,2022,2,championship
17,Hull City,Queens Park Rangers,0-3,https://www.besoccer.com/match/hull-city/queens-park-rangers-fc/202212877,2022,2,championship
18,Middlesbrough,Bristol City,2-1,https://www.besoccer.com/match/middlesbrough-fc/bristol-city-fc/202212878,2022,2,championship
19,Millwall,Blackburn Rovers,1-1,https://www.besoccer.com/match/millwall-fc/blackburn-rovers-fc/202212879,2022,2,championship
20,Nottingham Forest,AFC Bournemouth,1-2,https://www.besoccer.com/match/nottingham-forest-fc/afc-bournemouth/202212880,2022,2,championship
21,Reading,Preston North End,2-1,https://www.besoccer.com/match/reading-fc/preston-north-end/202212882,2022,2,championship
22,West Bromwich Albion,Luton Town,3-2,https://www.besoccer.com/match/west-bromwich/luton-town-fc/202212884,2022,2,championship
23,Swansea City,Sheffield United,0-0,https://www.besoccer.com/match/swansea-city-afc/sheffield-united/202212883,2022,2,championship
24,Barnsley,Luton Town,0-1,https://www.besoccer.com/match/barnsley-fc/luton-town-fc/202212885,2022,3,championship
25,Blackpool,Coventry City,0-1,https://www.besoccer.com/match/blackpool-fc/coventry-city/202212886,2022,3,championship
26,Huddersfield Town,Preston North End,1-0,https://www.besoccer.com/match/huddersfield-town-fc/preston-north-end/202212887,2022,3,championship
27,Millwall,Fulham,1-2,https://www.besoccer.com/match/millwall-fc/fulham/202212888,2022,3,championship
28,Peterborough United,Cardiff City,2-2,https://www.besoccer.com/match/peterborough-u/cardiff-city-fc/202212889,2022,3,championship
29,Swansea City,Stoke City,1-3,https://www.besoccer.com/match/swansea-city-afc/stoke-city/202212890,2022,3,championship
30,Reading,Bristol City,2-3,https://www.besoccer.com/match/reading-fc/bristol-city-fc/202212895,2022,3,championship
31,Birmingham City,AFC Bournemouth,0-2,https://www.besoccer.com/match/birmingham-city-fc/afc-bournemouth/202212891,2022,3,championship
32,Hull City,Derby County,0-1,https://www.besoccer.com/match/hull-city/derby-county-fc/202212892,2022,3,championship
33,Middlesbrough,Queens Park Rangers,2-3,https://www.besoccer.com/match/middlesbrough-fc/queens-park-rangers-fc/202212893,2022,3,championship
34,Nottingham Forest,Blackburn Rovers,1-2,https://www.besoccer.com/match/nottingham-forest-fc/blackburn-rovers-fc/202212894,2022,3,championship
35,West Bromwich Albion,Sheffield United,4-0,https://www.besoccer.com/match/west-bromwich/sheffield-united/202212896,2022,3,championship
36,Bristol City,Swansea City,0-1,https://www.besoccer.com/match/bristol-city-fc/swansea-city-afc/202212899,2022,4,championship
37,Queens Park Rangers,Barnsley,2-2,https://www.besoccer.com/match/queens-park-rangers-fc/barnsley-fc/202212906,2022,4,championship
38,AFC Bournemouth,Blackpool,2-2,https://www.besoccer.com/match/afc-bournemouth/blackpool-fc/202212897,2022,4,championship
39,Blackburn Rovers,West Bromwich Albion,1-2,https://www.besoccer.com/match/blackburn-rovers-fc/west-bromwich/202212898,2022,4,championship
40,Cardiff City,Millwall,3-1,https://www.besoccer.com/match/cardiff-city-fc/millwall-fc/202212900,2022,4,championship
41,Coventry City,Reading,2-1,https://www.besoccer.com/match/coventry-city/reading-fc/202212901,2022,4,championship
42,Derby County,Middlesbrough,0-0,https://www.besoccer.com/match/derby-county-fc/middlesbrough-fc/202212902,2022,4,championship
43,Fulham,Hull City,2-0,https://www.besoccer.com/match/fulham/hull-city/202212903,2022,4,championship
44,Luton Town,Birmingham City,0-5,https://www.besoccer.com/match/luton-town-fc/birmingham-city-fc/202212904,2022,4,championship
45,Preston North End,Peterborough United,1-0,https://www.besoccer.com/match/preston-north-end/peterborough-u/202212905,2022,4,championship
46,Sheffield United,Huddersfield Town,1-2,https://www.besoccer.com/match/sheffield-united/huddersfield-town-fc/202212907,2022,4,championship
47,Stoke City,Nottingham Forest,1-0,https://www.besoccer.com/match/stoke-city/nottingham-forest-fc/202212908,2022,4,championship
48,Cardiff City,Bristol City,1-2,https://www.besoccer.com/match/cardiff-city-fc/bristol-city-fc/202212910,2022,5,championship
49,Derby County,Nottingham Forest,1-1,https://www.besoccer.com/match/derby-county-fc/nottingham-forest-fc/202212911,2022,5,championship
50,Barnsley,Birmingham City,1-1,https://www.besoccer.com/match/barnsley-fc/birmingham-city-fc/202212909,2022,5,championship
51,Fulham,Stoke City,3-0,https://www.besoccer.com/match/fulham/stoke-city/202212912,2022,5,championship
52,Huddersfield Town,Reading,4-0,https://www.besoccer.com/match/huddersfield-town-fc/reading-fc/202212913,2022,5,championship
53,Hull City,AFC Bournemouth,0-0,https://www.besoccer.com/match/hull-city/afc-bournemouth/202212914,2022,5,championship
54,Luton Town,Sheffield United,0-0,https://www.besoccer.com/match/luton-town-fc/sheffield-united/202212915,2022,5,championship
55,Middlesbrough,Blackburn Rovers,1-1,https://www.besoccer.com/match/middlesbrough-fc/blackburn-rovers-fc/202212916,2022,5,championship
56,Millwall,Blackpool,2-1,https://www.besoccer.com/match/millwall-fc/blackpool-fc/202212917,2022,5,championship
57,Preston North End,Swansea City,3-1,https://www.besoccer.com/match/preston-north-end/swansea-city-afc/202212919,2022,5,championship
58,Queens Park Rangers,Coventry City,2-0,https://www.besoccer.com/match/queens-park-rangers-fc/coventry-city/202212920,2022,5,championship
59,Peterborough United,West Bromwich Albion,0-1,https://www.besoccer.com/match/peterborough-u/west-bromwich/202212918,2022,5,championship
60,Birmingham City,Derby County,2-0,https://www.besoccer.com/match/birmingham-city-fc/derby-county-fc/202212922,2022,6,championship
61,AFC Bournemouth,Barnsley,3-0,https://www.besoccer.com/match/afc-bournemouth/barnsley-fc/202212921,2022,6,championship
62,Blackburn Rovers,Luton Town,2-2,https://www.besoccer.com/match/blackburn-rovers-fc/luton-town-fc/202212923,2022,6,championship
63,Blackpool,Fulham,1-0,https://www.besoccer.com/match/blackpool-fc/fulham/202212924,2022,6,championship
64,Bristol City,Preston North End,0-0,https://www.besoccer.com/match/bristol-city-fc/preston-north-end/202212925,2022,6,championship
65,Coventry City,Middlesbrough,2-0,https://www.besoccer.com/match/coventry-city/middlesbrough-fc/202212926,2022,6,championship
66,Reading,Queens Park Rangers,3-3,https://www.besoccer.com/match/reading-fc/queens-park-rangers-fc/202212928,2022,6,championship
67,Sheffield United,Peterborough United,6-2,https://www.besoccer.com/match/sheffield-united/peterborough-u/202212929,2022,6,championship
68,Stoke City,Huddersfield Town,2-1,https://www.besoccer.com/match/stoke-city/huddersfield-town-fc/202212930,2022,6,championship
69,Swansea City,Hull City,0-0,https://www.besoccer.com/match/swansea-city-afc/hull-city/202212931,2022,6,championship
70,West Bromwich Albion,Millwall,1-1,https://www.besoccer.com/match/west-bromwich/millwall-fc/202212932,2022,6,championship
71,Nottingham Forest,Cardiff City,1-2,https://www.besoccer.com/match/nottingham-forest-fc/cardiff-city-fc/202212927,2022,6,championship
72,AFC Bournemouth,Queens Park Rangers,2-1,https://www.besoccer.com/match/afc-bournemouth/queens-park-rangers-fc/202212933,2022,7,championship
73,Blackburn Rovers,Hull City,2-0,https://www.besoccer.com/match/blackburn-rovers-fc/hull-city/202212934,2022,7,championship
74,Blackpool,Huddersfield Town,0-3,https://www.besoccer.com/match/blackpool-fc/huddersfield-town-fc/202212935,2022,7,championship
75,Sheffield United,Preston North End,2-2,https://www.besoccer.com/match/sheffield-united/preston-north-end/202212936,2022,7,championship
76,Reading,Peterborough United,3-1,https://www.besoccer.com/match/reading-fc/peterborough-u/202212937,2022,7,championship
77,West Bromwich Albion,Derby County,0-0,https://www.besoccer.com/match/west-bromwich/derby-county-fc/202212938,2022,7,championship
78,Birmingham City,Fulham,1-4,https://www.besoccer.com/match/birmingham-city-fc/fulham/202212939,2022,7,championship
79,Bristol City,Luton Town,1-1,https://www.besoccer.com/match/bristol-city-fc/luton-town-fc/202212940,2022,7,championship
80,Coventry City,Cardiff City,1-0,https://www.besoccer.com/match/coventry-city/cardiff-city-fc/202212941,2022,7,championship
81,Nottingham Forest,Middlesbrough,0-2,https://www.besoccer.com/match/nottingham-forest-fc/middlesbrough-fc/202212942,2022,7,championship
82,Swansea City,Millwall,0-0,https://www.besoccer.com/match/swansea-city-afc/millwall-fc/202212943,2022,7,championship
83,Stoke City,Barnsley,1-1,https://www.besoccer.com/match/stoke-city/barnsley-fc/202212944,2022,7,championship
84,Hull City,Sheffield United,1-3,https://www.besoccer.com/match/hull-city/sheffield-united/202212950,2022,8,championship
85,Barnsley,Blackburn Rovers,0-0,https://www.besoccer.com/match/barnsley-fc/blackburn-rovers-fc/202212945,2022,8,championship
86,Cardiff City,AFC Bournemouth,0-1,https://www.besoccer.com/match/cardiff-city-fc/afc-bournemouth/202212946,2022,8,championship
87,Derby County,Stoke City,2-1,https://www.besoccer.com/match/derby-county-fc/stoke-city/202212947,2022,8,championship
88,Fulham,Reading,1-2,https://www.besoccer.com/match/fulham/reading-fc/202212948,2022,8,championship
89,Huddersfield Town,Nottingham Forest,0-2,https://www.besoccer.com/match/huddersfield-town-fc/nottingham-forest-fc/202212949,2022,8,championship
90,Luton Town,Swansea City,3-3,https://www.besoccer.com/match/luton-town-fc/swansea-city-afc/202212951,2022,8,championship
91,Middlesbrough,Blackpool,1-2,https://www.besoccer.com/match/middlesbrough-fc/blackpool-fc/202212952,2022,8,championship
92,Millwall,Coventry City,1-1,https://www.besoccer.com/match/millwall-fc/coventry-city/202212953,2022,8,championship
93,Peterborough United,Birmingham City,3-0,https://www.besoccer.com/match/peterborough-u/birmingham-city-fc/202212954,2022,8,championship
94,Preston North End,West Bromwich Albion,1-1,https://www.besoccer.com/match/preston-north-end/west-bromwich/202212955,2022,8,championship
95,Queens Park Rangers,Bristol City,1-2,https://www.besoccer.com/match/queens-park-rangers-fc/bristol-city-fc/202212956,2022,8,championship
96,Coventry City,Peterborough United,3-0,https://www.besoccer.com/match/coventry-city/peterborough-u/202212962,2022,9,championship
97,West Bromwich Albion,Queens Park Rangers,2-1,https://www.besoccer.com/match/west-bromwich/queens-park-rangers-fc/202212968,2022,9,championship
98,Reading,Middlesbrough,1-0,https://www.besoccer.com/match/reading-fc/middlesbrough-fc/202212964,2022,9,championship
99,AFC Bournemouth,Luton Town,2-1,https://www.besoccer.com/match/afc-bournemouth/luton-town-fc/202212957,2022,9,championship
100,Birmingham City,Preston North End,0-0,https://www.besoccer.com/match/birmingham-city-fc/preston-north-end/202212958,2022,9,championship
101,Blackburn Rovers,Cardiff City,5-1,https://www.besoccer.com/match/blackburn-rovers-fc/cardiff-city-fc/202212959,2022,9,championship
102,Blackpool,Barnsley,1-0,https://www.besoccer.com/match/blackpool-fc/barnsley-fc/202212960,2022,9,championship
103,Bristol City,Fulham,1-1,https://www.besoccer.com/match/bristol-city-fc/fulham/202212961,2022,9,championship
104,Nottingham Forest,Millwall,1-1,https://www.besoccer.com/match/nottingham-forest-fc/millwall-fc/202212963,2022,9,championship
105,Sheffield United,Derby County,1-0,https://www.besoccer.com/match/sheffield-united/derby-county-fc/202212965,2022,9,championship
106,Stoke City,Hull City,2-0,https://www.besoccer.com/match/stoke-city/hull-city/202212966,2022,9,championship
107,Swansea City,Huddersfield Town,1-0,https://www.besoccer.com/match/swansea-city-afc/huddersfield-town-fc/202212967,2022,9,championship
108,Cardiff City,West Bromwich Albion,0-4,https://www.besoccer.com/match/cardiff-city-fc/west-bromwich/202212969,2022,10,championship
109,Huddersfield Town,Blackburn Rovers,3-2,https://www.besoccer.com/match/huddersfield-town-fc/blackburn-rovers-fc/202212970,2022,10,championship
110,Hull City,Blackpool,1-1,https://www.besoccer.com/match/hull-city/blackpool-fc/202212971,2022,10,championship
111,Middlesbrough,Sheffield United,2-0,https://www.besoccer.com/match/middlesbrough-fc/sheffield-united/202212972,2022,10,championship
112,Preston North End,Stoke City,1-1,https://www.besoccer.com/match/preston-north-end/stoke-city/202212973,2022,10,championship
113,Queens Park Rangers,Birmingham City,2-0,https://www.besoccer.com/match/queens-park-rangers-fc/birmingham-city-fc/202212974,2022,10,championship
114,Barnsley,Nottingham Forest,1-3,https://www.besoccer.com/match/barnsley-fc/nottingham-forest-fc/202212975,2022,10,championship
115,Derby County,Reading,1-0,https://www.besoccer.com/match/derby-county-fc/reading-fc/202212976,2022,10,championship
116,Fulham,Swansea City,3-1,https://www.besoccer.com/match/fulham/swansea-city-afc/202212977,2022,10,championship
117,Luton Town,Coventry City,5-0,https://www.besoccer.com/match/luton-town-fc/coventry-city/202212978,2022,10,championship
118,Millwall,Bristol City,1-0,https://www.besoccer.com/match/millwall-fc/bristol-city-fc/202212979,2022,10,championship
119,Peterborough United,AFC Bournemouth,0-0,https://www.besoccer.com/match/peterborough-u/afc-bournemouth/202212980,2022,10,championship
120,Stoke City,West Bromwich Albion,1-0,https://www.besoccer.com/match/stoke-city/west-bromwich/202212992,2022,11,championship
121,Coventry City,Fulham,4-1,https://www.besoccer.com/match/coventry-city/fulham/202212986,2022,11,championship
122,AFC Bournemouth,Sheffield United,2-1,https://www.besoccer.com/match/afc-bournemouth/sheffield-united/202212981,2022,11,championship
123,Barnsley,Millwall,0-1,https://www.besoccer.com/match/barnsley-fc/millwall-fc/202212982,2022,11,championship
124,Birmingham City,Nottingham Forest,0-3,https://www.besoccer.com/match/birmingham-city-fc/nottingham-forest-fc/202212983,2022,11,championship
125,Blackpool,Blackburn Rovers,2-1,https://www.besoccer.com/match/blackpool-fc/blackburn-rovers-fc/202212984,2022,11,championship
126,Cardiff City,Reading,0-1,https://www.besoccer.com/match/cardiff-city-fc/reading-fc/202212985,2022,11,championship
127,Derby County,Swansea City,0-0,https://www.besoccer.com/match/derby-county-fc/swansea-city-afc/202212987,2022,11,championship
128,Hull City,Middlesbrough,2-0,https://www.besoccer.com/match/hull-city/middlesbrough-fc/202212988,2022,11,championship
129,Luton Town,Huddersfield Town,0-0,https://www.besoccer.com/match/luton-town-fc/huddersfield-town-fc/202212989,2022,11,championship
130,Peterborough United,Bristol City,2-3,https://www.besoccer.com/match/peterborough-u/bristol-city-fc/202212990,2022,11,championship
131,Queens Park Rangers,Preston North End,3-2,https://www.besoccer.com/match/queens-park-rangers-fc/preston-north-end/202212991,2022,11,championship
132,West Bromwich Albion,Birmingham City,1-0,https://www.besoccer.com/match/west-bromwich/birmingham-city-fc/202213004,2022,12,championship
133,Fulham,Queens Park Rangers,4-1,https://www.besoccer.com/match/fulham/queens-park-rangers-fc/202212995,2022,12,championship
134,Blackburn Rovers,Coventry City,2-2,https://www.besoccer.com/match/blackburn-rovers-fc/coventry-city/202212993,2022,12,championship
135,Bristol City,AFC Bournemouth,0-2,https://www.besoccer.com/match/bristol-city-fc/afc-bournemouth/202212994,2022,12,championship
136,Huddersfield Town,Hull City,2-0,https://www.besoccer.com/match/huddersfield-town-fc/hull-city/202212996,2022,12,championship
137,Middlesbrough,Peterborough United,2-0,https://www.besoccer.com/match/middlesbrough-fc/peterborough-u/202212997,2022,12,championship
138,Millwall,Luton Town,0-2,https://www.besoccer.com/match/millwall-fc/luton-town-fc/202212998,2022,12,championship
139,Nottingham Forest,Blackpool,2-1,https://www.besoccer.com/match/nottingham-forest-fc/blackpool-fc/202212999,2022,12,championship
140,Preston North End,Derby County,0-0,https://www.besoccer.com/match/preston-north-end/derby-county-fc/202213000,2022,12,championship
141,Reading,Barnsley,1-0,https://www.besoccer.com/match/reading-fc/barnsley-fc/202213001,2022,12,championship
142,Sheffield United,Stoke City,2-1,https://www.besoccer.com/match/sheffield-united/stoke-city/202213002,2022,12,championship
143,Swansea City,Cardiff City,3-0,https://www.besoccer.com/match/swansea-city-afc/cardiff-city-fc/202213003,2022,12,championship
144,Bristol City,Nottingham Forest,1-2,https://www.besoccer.com/match/bristol-city-fc/nottingham-forest-fc/202213005,2022,13,championship
145,Derby County,Luton Town,2-2,https://www.besoccer.com/match/derby-county-fc/luton-town-fc/202213006,2022,13,championship
146,Queens Park Rangers,Blackburn Rovers,1-0,https://www.besoccer.com/match/queens-park-rangers-fc/blackburn-rovers-fc/202213008,2022,13,championship
147,Sheffield United,Millwall,1-2,https://www.besoccer.com/match/sheffield-united/millwall-fc/202213009,2022,13,championship
148,Stoke City,AFC Bournemouth,0-1,https://www.besoccer.com/match/stoke-city/afc-bournemouth/202213010,2022,13,championship
149,Fulham,Cardiff City,2-0,https://www.besoccer.com/match/fulham/cardiff-city-fc/202213007,2022,13,championship
150,Huddersfield Town,Birmingham City,0-0,https://www.besoccer.com/match/huddersfield-town-fc/birmingham-city-fc/202213011,2022,13,championship
151,Hull City,Peterborough United,1-2,https://www.besoccer.com/match/hull-city/peterborough-u/202213012,2022,13,championship
152,Middlesbrough,Barnsley,2-0,https://www.besoccer.com/match/middlesbrough-fc/barnsley-fc/202213013,2022,13,championship
