,Home_Team,Away_Team,Result,Link,Season,Round,League
0,Go Ahead Eagles,Heerenveen,0-1,https://www.besoccer.com/match/go-ahead-eagles/heerenveen/20222326,2022,1,eredivisie
1,RKC Waalwijk,AZ Alkmaar,1-0,https://www.besoccer.com/match/rkc-waalwijk/az/20222327,2022,1,eredivisie
2,Heracles,PSV,0-2,https://www.besoccer.com/match/heracles/psv/20222328,2022,1,eredivisie
3,Fortuna Sittard,Twente 1965,2-1,https://www.besoccer.com/match/fortuna-sittard/fc-twente-1965/20222329,2022,1,eredivisie
4,Ajax,NEC Nijmegen,5-0,https://www.besoccer.com/match/ajax/nec/20222330,2022,1,eredivisie
5,Cambuur,Groningen,1-2,https://www.besoccer.com/match/sc-cambuur-leeuwarden/fc-groningen/20222331,2022,1,eredivisie
6,PEC Zwolle,Vitesse,0-1,https://www.besoccer.com/match/fc-zwolle/vitesse/20222332,2022,1,eredivisie
7,Utrecht,Sparta Rotterdam,4-0,https://www.besoccer.com/match/fc-utrecht/sparta-rotterdam/20222333,2022,1,eredivisie
8,Willem II,Feyenoord,0-4,https://www.besoccer.com/match/willem-ii/feyenoord/20222334,2022,1,eredivisie
9,NEC Nijmegen,PEC Zwolle,2-0,https://www.besoccer.com/match/nec/fc-zwolle/20222335,2022,2,eredivisie
10,Heerenveen,RKC Waalwijk,3-2,https://www.besoccer.com/match/heerenveen/rkc-waalwijk/20222336,2022,2,eredivisie
11,PSV,Cambuur,4-1,https://www.besoccer.com/match/psv/sc-cambuur-leeuwarden/20222337,2022,2,eredivisie
12,Sparta Rotterdam,Heracles,1-1,https://www.besoccer.com/match/sparta-rotterdam/heracles/20222338,2022,2,eredivisie
13,Groningen,Utrecht,0-0,https://www.besoccer.com/match/fc-groningen/fc-utrecht/20222339,2022,2,eredivisie
14,Twente 1965,Ajax,1-1,https://www.besoccer.com/match/fc-twente-1965/ajax/20222340,2022,2,eredivisie
15,Feyenoord,Go Ahead Eagles,2-0,https://www.besoccer.com/match/feyenoord/go-ahead-eagles/20222341,2022,2,eredivisie
16,Vitesse,Willem II,0-3,https://www.besoccer.com/match/vitesse/willem-ii/20222342,2022,2,eredivisie
17,AZ Alkmaar,Fortuna Sittard,2-1,https://www.besoccer.com/match/az/fortuna-sittard/20222343,2022,2,eredivisie
18,Fortuna Sittard,RKC Waalwijk,2-2,https://www.besoccer.com/match/fortuna-sittard/rkc-waalwijk/20222344,2022,3,eredivisie
19,Cambuur,Twente 1965,2-0,https://www.besoccer.com/match/sc-cambuur-leeuwarden/fc-twente-1965/20222345,2022,3,eredivisie
20,Go Ahead Eagles,Sparta Rotterdam,2-0,https://www.besoccer.com/match/go-ahead-eagles/sparta-rotterdam/20222346,2022,3,eredivisie
21,PSV,Groningen,5-2,https://www.besoccer.com/match/psv/fc-groningen/20222347,2022,3,eredivisie
22,Willem II,PEC Zwolle,1-0,https://www.besoccer.com/match/willem-ii/fc-zwolle/20222348,2022,3,eredivisie
23,Utrecht,Feyenoord,3-1,https://www.besoccer.com/match/fc-utrecht/feyenoord/20222349,2022,3,eredivisie
24,Ajax,Vitesse,5-0,https://www.besoccer.com/match/ajax/vitesse/20222350,2022,3,eredivisie
25,Heracles,NEC Nijmegen,0-1,https://www.besoccer.com/match/heracles/nec/20222351,2022,3,eredivisie
26,Heerenveen,AZ Alkmaar,1-3,https://www.besoccer.com/match/heerenveen/az/20222352,2022,3,eredivisie
27,Twente 1965,Utrecht,1-0,https://www.besoccer.com/match/fc-twente-1965/fc-utrecht/20222353,2022,4,eredivisie
